[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001330s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: arcfix 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 52 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | NOTIC: [8] Undefined variable: topchannelid 0573c70d8602d961e53f714ea77bd87c.php 第 60 行.
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid= ORDER BY sortrank asc  [ RunTime:0.000655s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.047636s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname`,`ishtml` FROM `myf_archives` WHERE 1=1 ORDER BY click desc LIMIT 11   [ RunTime:0.039461s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009563s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.002901s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009293s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.002807s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009665s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='11' LIMIT 1   [ RunTime:0.003736s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009536s ]
[ 2012-06-06T08:28:11+08:00 ] /myfcms/index.php | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.000878s ]
[ 2012-06-06T08:28:12+08:00 ] /myfcms/index.php | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009251s ]
[ 2012-06-06T08:28:12+08:00 ] /myfcms/index.php | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.003526s ]
