[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001182s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=1 ORDER BY sortrank asc  [ RunTime:0.001025s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE topid=1  [ RunTime:0.000777s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.012460s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname` FROM `myf_archives` WHERE 1=1 and typeid in(1,7,8) ORDER BY click desc LIMIT 10   [ RunTime:0.010370s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011482s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.007119s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.023108s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.007722s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011819s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.014031s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011093s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.007220s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010921s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.005859s ]
