[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.000941s ]
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=1 ORDER BY sortrank asc  [ RunTime:0.001194s ]
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | SQL: SELECT * FROM `myf_arctype` WHERE topid=1  [ RunTime:0.000784s ]
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.009567s ]
[ 2012-06-01T08:46:08+08:00 ] /myfcms/index.php?m=Html&a=archive | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname`,`ishtml` FROM `myf_archives` WHERE 1=1 and typeid in(1,7,8) ORDER BY click desc LIMIT 10   [ RunTime:0.004221s ]
