[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_template ] --END-- [ RunTime:0.004054s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ParseTemplate Behavior [ RunTime:0.137412s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.137765s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ContentReplace Behavior [ RunTime:0.004805s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run TokenBuild Behavior [ RunTime:0.002004s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001111s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ShowRuntime Behavior [ RunTime:0.003218s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012547s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ShowPageTrace Behavior [ RunTime:0.001668s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_end ] --END-- [ RunTime:0.001910s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003856s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004383s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.052719s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname` FROM `myf_archives` ORDER BY id desc LIMIT 0,10   [ RunTime:0.005940s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010104s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.006262s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009374s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004460s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009602s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.060690s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.014829s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.024167s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008678s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.006337s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009938s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004444s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.026038s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.006421s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.012657s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.001077s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009763s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004464s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.012191s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004113s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_admin` [ RunTime:0.010093s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT COUNT(*) AS tp_count FROM `myf_admin` LIMIT 1   [ RunTime:0.009310s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.032399s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | SQL: SELECT COUNT(*) AS tp_count FROM `myf_archives` LIMIT 1   [ RunTime:0.005395s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run LocationTemplate Behavior [ RunTime:0.004140s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_template ] --END-- [ RunTime:0.004417s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run ParseTemplate Behavior [ RunTime:0.069413s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069716s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run ContentReplace Behavior [ RunTime:0.001595s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run TokenBuild Behavior [ RunTime:0.001516s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000840s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run ShowRuntime Behavior [ RunTime:0.001600s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009265s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Run ShowPageTrace Behavior [ RunTime:0.002115s ]
[ 2012-05-31T06:31:03+08:00 ] /myfcms/admin/index.php?m=Index&a=main | INFO: Tag[ view_end ] --END-- [ RunTime:0.002371s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004456s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004809s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.007653s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | SQL: SELECT * FROM `myf_sys` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.003770s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006439s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006699s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.045268s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045564s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.003893s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.004158s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003211s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003979s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015893s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004233s ]
[ 2012-05-31T06:53:08+08:00 ] /myfcms/admin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004557s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001933s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002279s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.100938s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | SQL: SELECT * FROM `myf_sys` WHERE id<3  [ RunTime:0.023729s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run LocationTemplate Behavior [ RunTime:0.003965s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_template ] --END-- [ RunTime:0.004222s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ParseTemplate Behavior [ RunTime:0.036889s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037175s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ContentReplace Behavior [ RunTime:0.001507s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run TokenBuild Behavior [ RunTime:0.001352s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000820s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ShowRuntime Behavior [ RunTime:0.001586s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005916s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001552s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_end ] --END-- [ RunTime:0.001773s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004289s ]
[ 2012-05-31T06:53:09+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004630s ]
